"id","createdby","createddate","modifiedby","modifieddate","cnbdetails","cnbnotes","cnbphotourl","cnbstatus","cnbtplid","cnbtplname","company","ougrade"
9,EMP-205,2020-01-30 13:20:52,EMP-205,,,"","",ACTIVE,CNBTPL-1580365312011,BENEFIT & COMPENSATION DIREKSI,,
10,EMP-205,2020-01-30 13:22:09,EMP-205,,,"","",ACTIVE,CNBTPL-1580365339696,BENEFIT & COMPENSATION DEPUTI,,
11,EMP-205,2020-01-30 13:22:50,EMP-205,,,"","",ACTIVE,CNBTPL-1580365373145,BENEFIT & COMPENSATION KOMISARIS,,
12,EMP-205,2020-01-30 13:23:01,EMP-205,,,"","",ACTIVE,CNBTPL-1580365386461,BENEFIT & COMPENSATION EXECUTIVE OFFICER,,
13,EMP-205,2020-01-30 13:23:17,EMP-205,,,"","",ACTIVE,CNBTPL-1580365401458,BENEFIT & COMPENSATION SENIOR OFFICER,,
14,EMP-205,2020-01-30 13:23:17,EMP-205,,,"","",ACTIVE,CNBTPL-1580365413538,BENEFIT & COMPENSATION STAFF,,
27,EMP-205,2020-01-31 15:44:52,SYSTEM,2020-01-31 16:18:58,[],"",image/configuration_cnb/IMG_CNB_CNBTPL-1580460501177-BAG.jpg,ACTIVE,CNBTPL-1580460501177,BENEFIT & COMPENSATION GOLONGAN 3 GRADE 5,"{""esID"":""ES-1579352234417"",""esSubcoID"":""SUBCO-157935223441714"",""esName"":""Bank Artha Graha Sudirman (KPNO)""}","{""bizparKey"":""GRADE-005"",""bizparStatus"":""ACTIVE"",""bizparValue"":""5"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""11-02-2020 10:42:21"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""CORPORATE_GRADE""}"
31,EMP-205,2020-01-31 15:44:52,SYSTEM,2020-01-31 16:30:35,[],"",image/configuration_cnb/IMG_CNB_CNBTPL-1580460586583-BAG.jpg,ACTIVE,CNBTPL-1580460586583,BENEFIT & COMPENSATION GOLONGAN 4 GRADE 3,"{""esID"":""ES-1579352234417"",""esSubcoID"":""SUBCO-157935223441714"",""esName"":""Bank Artha Graha Sudirman (KPNO)""}","{""bizparKey"":""GRADE-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""3"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""11-02-2020 10:42:21"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""CORPORATE_GRADE""}"
28,EMP-205,2020-01-31 15:44:52,SYSTEM,2020-01-31 16:20:44,[],"",image/configuration_cnb/IMG_CNB_CNBTPL-1580460514205-BAG.jpg,ACTIVE,CNBTPL-1580460514205,BENEFIT & COMPENSATION GOLONGAN 3 GRADE 6,"{""esID"":""ES-1579352234417"",""esSubcoID"":""SUBCO-157935223441714"",""esName"":""Bank Artha Graha Sudirman (KPNO)""}","{""bizparKey"":""GRADE-006"",""bizparStatus"":""ACTIVE"",""bizparValue"":""6"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""11-02-2020 10:42:21"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""CORPORATE_GRADE""}"
22,EMP-205,2020-01-31 15:44:52,SYSTEM,2020-03-16 04:52:31,[],"",image/configuration_cnb/IMG_CNB_CNBTPL-1580460430173-BAG.jpg,ACTIVE,CNBTPL-1580460430173,BENEFIT & COMPENSATION GOLONGAN 1 GRADE 12,"{""esID"":""ES-1579352234417"",""esSubcoID"":""SUBCO-157935223441714"",""esName"":""Bank Artha Graha Sudirman (KPNO)""}","{""bizparKey"":""GRADE-012"",""bizparStatus"":""ACTIVE"",""bizparValue"":""12"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""11-02-2020 10:42:21"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""CORPORATE_GRADE""}"
